cluster_id,dependency_group,sampling_frame_id,unit_type,source_id,publication_year,system_taxon,conflict_family,shared_structure,function_a,function_b,conflict_status,architecture_mode,structural_module_division,module_substrate,conflict_timing_geometry,conflict_spatial_geometry,self_compatibility,autonomous_selfing,pollinator_dependence,life_history,study_design,evidence_quality,adjudication_status,primary_model_eligible,exclusion_reason,source_basis,claim_ceiling,notes
U2_Narcissus_assoanus_screen,Narcissus_assoanus,U2_BARRETT_2002,SPECIES,Baker_Thompson_Barrett_2000_I_II,2000,Narcissus assoanus,SEXUAL_INTERFERENCE,stigma-height and two-level stamen system,male reproductive function,female reproductive function,UNRESOLVED,POLYMORPHIC_OR_MOSAIC,unresolved,MULTILEVEL,SIMULTANEOUS,SAME_UNIT,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,46-population floral survey plus controlled fitness comparisons,HIGH,SCREENED,false,,10.1046/j.1365-2540.2000.00651.x;10.1046/j.1365-2540.2000.00686.x,u2_primary_source_screen_only_not_independently_adjudicated,"Stigma-height dimorphism and fitness differences are well documented, but the cited studies do not by themselves identify male-female interference as the causal conflict."
U2_Narcissus_dubius_screen,Narcissus_dubius,U2_BARRETT_2002,SPECIES,Baker_Thompson_Barrett_2000_I_II,2000,Narcissus dubius,SEXUAL_INTERFERENCE,stigma-height and two-level stamen system,male reproductive function,female reproductive function,UNRESOLVED,POLYMORPHIC_OR_MOSAIC,unresolved,MULTILEVEL,SIMULTANEOUS,SAME_UNIT,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,21-population floral survey plus controlled fitness comparisons,HIGH,SCREENED,false,,10.1046/j.1365-2540.2000.00651.x;10.1046/j.1365-2540.2000.00686.x,u2_primary_source_screen_only_not_independently_adjudicated,Retained as a source-resolved polymorphism case without promoting stigma-height dimorphism itself to evidence of sexual interference.
U2_Pontederia_cordata_screen,Pontederia_cordata,U2_BARRETT_2002,SPECIES,Barrett_Glover_1985,1985,Pontederia cordata,SEXUAL_INTERFERENCE,tristylous stamen-style system,male reproductive function,female reproductive function,NO_DEMONSTRATED_CONFLICT,POLYMORPHIC_OR_MOSAIC,unresolved,MULTILEVEL,SIMULTANEOUS,SAME_UNIT,SELF_INCOMPATIBLE,UNRESOLVED,UNRESOLVED,UNRESOLVED,field emasculation and incompatible-pollen interference experiments,HIGH,SCREENED,false,,10.1111/j.1558-5646.1985.tb00418.x,u2_primary_source_screen_only_not_independently_adjudicated,Critical specificity control: neither stamen presence nor prior incompatible pollen produced the predicted large interference effect; tristyly is observed but conflict mechanism is not supported.
U2_Campsis_radicans_screen,Campsis_radicans,U2_BARRETT_2002,SPECIES,Bertin_Sullivan_1988,1988,Campsis radicans,SEXUAL_INTERFERENCE,protandrous hermaphroditic flower,male reproductive function,female reproductive function,POSITIVE,TEMPORAL_SEPARATION,false,MULTILEVEL,MIXED,SAME_UNIT,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,controlled self-before-cross and mixed-pollen experiments,HIGH,SCREENED,false,,10.1002/j.1537-2197.1988.tb08827.x,u2_primary_source_screen_only_not_independently_adjudicated,Self pollen combined with or preceding cross pollen markedly reduced fruit production; authors link marked protandry at least partly to avoidance of this interference.
U2_Asclepias_exaltata_screen,Asclepias_exaltata,U2_BARRETT_2002,SPECIES,Broyles_Wyatt_1993,1993,Asclepias exaltata,SEXUAL_INTERFERENCE,milkweed pollinium-stigmatic chamber flower,male reproductive function,female reproductive function,POSITIVE,SHARED_INTEGRATED,false,MULTILEVEL,MIXED,SAME_UNIT,SELF_INCOMPATIBLE,UNRESOLVED,UNRESOLVED,UNRESOLVED,138-flower controlled timing experiment with 1380 hand pollinations,HIGH,SCREENED,false,,10.1002/j.1537-2197.1993.tb13765.x,u2_primary_source_screen_only_not_independently_adjudicated,Prior or simultaneous self pollen strongly reduces fruit/seed set after cross pollen; cited source does not establish a separate temporal/spatial architecture that resolves the conflict.
U2_Mimulus_aurantiacus_screen,Mimulus_aurantiacus,U2_BARRETT_2002,SPECIES,Fetscher_2001,2001,Mimulus aurantiacus,SEXUAL_INTERFERENCE,touch-sensitive bilobed stigma and anther system,male reproductive function,female reproductive function,POSITIVE,SPATIAL_SEPARATION,false,MULTILEVEL,SEQUENTIAL_WITHIN_UNIT,SAME_UNIT,SELF_COMPATIBLE,UNRESOLVED,UNRESOLVED,PERENNIAL,stigma-closure manipulation with pollen export and selfing measurements,HIGH,SCREENED,false,,10.1098/rspb.2000.1395,u2_primary_source_screen_only_not_independently_adjudicated,Direct experiment: stigma closure increases anther-stigma separation and more than doubles pollen export while minimally changing intrafloral selfing; strong male-female interference case.
U2_Polemonium_viscosum_screen,Polemonium_viscosum,U2_BARRETT_2002,SPECIES,Galen_Gregory_Galloway_1989,1989,Polemonium viscosum,SEXUAL_INTERFERENCE,pollen-stigma presentation system,male reproductive function,female reproductive function,POSITIVE,TEMPORAL_AND_SPATIAL_SEPARATION,false,MULTILEVEL,MIXED,SAME_UNIT,SELF_INCOMPATIBLE,UNRESOLVED,UNRESOLVED,UNRESOLVED,controlled self-pollen precedence and outcross-pollen performance experiment,HIGH,SCREENED,false,,10.1002/j.1537-2197.1989.tb15152.x,u2_primary_source_screen_only_not_independently_adjudicated,"Self pollen reduces compatible-pollen germination and sometimes seed set. The source explicitly reports both spatial and temporal segregation of pollen and stigma presentation, so the joint nonstructural architecture is retained rather than forced into one mode."
U2_Eichhornia_paniculata_screen,Eichhornia_paniculata,U2_BARRETT_2002,SPECIES,Kohn_Barrett_1992;Harder_Barrett_1995;Harder_Barrett_Cole_2000,2000,Eichhornia paniculata,SEXUAL_INTERFERENCE,repeated simultaneously hermaphroditic flowers within an inflorescence,male reproductive function,female reproductive function,POSITIVE,SHARED_INTEGRATED,false,REPEATED_FLOWERS,SIMULTANEOUS,BETWEEN_MODULES,SELF_COMPATIBLE,UNRESOLVED,UNRESOLVED,UNRESOLVED,experimental floral/inflorescence manipulations with paternity and selfing,HIGH,SCREENED,false,,10.1038/373512a0;10.1098/rspb.2000.1002,u2_primary_source_screen_only_not_independently_adjudicated,Natural focal flowers are adichogamous. Experimental segregation of sex roles among flowers reduces geitonogamy and can increase outcross siring; this establishes conflict and alternative function but does not relabel the natural architecture as already segregated.
U2_Wahlenbergia_albomarginata_screen,Wahlenbergia_albomarginata,U2_BARRETT_2002,SPECIES,Lloyd_Yates_1982,1982,Wahlenbergia albomarginata,SEXUAL_INTERFERENCE,pollen-stigma positional system,male reproductive function,female reproductive function,UNRESOLVED,SPATIAL_SEPARATION,false,MULTILEVEL,SIMULTANEOUS,SAME_UNIT,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,floral positional and evolutionary analysis,MODERATE,SCREENED,false,,10.1111/j.1558-5646.1982.tb05462.x,u2_primary_source_screen_only_not_independently_adjudicated,"Primary paper explicitly treats segregation of pollen and stigmas, but the present source screen does not promote the hypothesized interference mechanism to a direct experimental conflict receipt."
U2_Pseudowintera_colorata_screen,Pseudowintera_colorata,U2_BARRETT_2002,SPECIES,Lloyd_Wells_1992,1992,Pseudowintera colorata,SEXUAL_INTERFERENCE,hermaphroditic reproductive flower,male reproductive function,female reproductive function,UNRESOLVED,UNRESOLVED,unresolved,MULTILEVEL,UNRESOLVED,SAME_UNIT,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,reproductive-biology field study,MODERATE,SCREENED,false,,Lloyd_Wells_1992_Plant_Systematics_Evolution,u2_primary_source_screen_only_not_independently_adjudicated,"Source is retained because Barrett cites it in the sexual-interference review, but direct conflict and a specific architecture mode are not promoted without stronger source-level evidence."
