study_key,citation,publication_doi,system_taxon,pollination_manipulated,antagonist_manipulated,same_unit_crossed_design,continuous_trait_selection,common_fitness_scale,same_trait_opposition,context_specific_agent_contrasts,joint_uncertainty_path,q1b_class,first_failed_gate,claim_ceiling,notes
EGAN_FRAGARIA_2021,Egan_Muola_Parachnowitsch_Stenberg_2021,10.1002/evl3.262,Fragaria vesca,yes,yes,yes,yes,yes,yes,yes,reported_Table_S2_S3_exact_factorial_reconstruction,STRICT_Q1B_EFFECT_READY,PASS_Q1B,effect_ready_Q1B_pattern_not_direct_BALANCE,Full factorial pollination x herbivory; inflorescence density has opposing diffuse agent-mediated selection; joint covariance reconstructed and frozen in BALANCE_FRAGARIA_Q1B_RECEIPT_V1.
SLETVOLD_GYMNADENIA_2015,Sletvold_Moritz_Agren_2015,10.1890/14-0119.1,Gymnadenia conopsea,yes,yes,yes,yes,yes,yes,yes_pending_appendix_reconstruction,pending_factorial_contrast_covariance,ADDITIVE_OPPOSITION_SIMPLE_Q1,diffuse_context_dependence_absent,opposed_agent_selection_simple_Q1_not_Q1B_positive,Pollinators favor later flowering and herbivores earlier flowering; no trait x pollination x herbivory interaction was significant so the conflict is additive rather than diffuse.
SANTANGELO_TRIFOLIUM_2018,Santangelo_Thompson_Johnson_2018,10.1111/jeb.13392,Trifolium repens,yes,yes,yes,yes,yes,no,no_registered_same_trait_opposition,public_raw_data_and_reproducible_models,FACTORIAL_NEGATIVE_CONTROL,same_trait_opposition_absent,design_matched_negative_control_not_Q1B_positive,HCN x pollination x herbivory factorial; pollinators did not independently affect selection on a registered same trait while herbivory effects occurred on other or HCN-modified traits.
THOMSEN_SARGENT_LYTHRUM_2017,Thomsen_Sargent_2017,10.1093/aob/mcx026,Lythrum salicaria,yes,yes_or_simulated_damage,near_factorial,yes,yes,no,no_diffuse_same_trait_pair,source_reported_delta_beta_and_SE,FACTORIAL_NEGATIVE_CONTROL,same_trait_opposition_absent,design_near_negative_control_not_Q1B_positive,Damage changed direct selection but pollinator-mediated delta-beta was near zero and pollination x damage x trait contrasts were unsupported.
AGREN_PRIMULA_FARINOSA_2013,Agren_Hellstrom_Torang_Ehrlen_2013,10.1073/pnas.1301421110,Primula farinosa,yes,yes,yes,no_discrete_genetic_morph,yes,yes,not_Q1B_continuous_vector,site_level_relative_fitness_recovery_pending,DISCRETE_MORPH_OPPOSITION,continuous_trait_estimand_absent,separate_discrete_morph_selection_stratum,Pollinators favor long scapes and grazers short scapes but the estimand is a genetically based long-vs-short morph relative-fitness contrast rather than continuous standardized beta.
FREY_CLAYTONIA_2004,Frey_2004,10.1111/j.0014-3820.2004.tb00872.x,Claytonia virginica,yes_separate_pollen_supplement_study,yes_separate_artificial_herbivory_study,no,no_four_discrete_color_classes,mixed_across_separate_studies,yes_across_agents_but_not_crossed,no,no_joint_crossed_uncertainty,NONCROSSED_DISCRETE_NEAR_MISS,same_unit_crossed_design_absent,opposing_selection_reality_pattern_not_Q1B,Multiseason field study plus separate pollen supplementation and artificial herbivory experiments suggest opposing forces on floral redness but do not form one crossed Q1B experiment.
THEIS_ADLER_CUCURBITA_2012,Theis_Adler_2012,10.1890/11-0825.1,Cucurbita pepo texana,yes,yes,yes,no_trait_value_experimentally_manipulated,yes,trait_intervention_tradeoff_not_selection_gradient,not_registered_Q1B_vector,experimental_treatment_uncertainty,TRAIT_INTERVENTION_BOUNDARY,continuous_trait_selection_gradient_absent,direct_function_tradeoff_experiment_not_Q1B_beta,Fragrance pollination and florivore manipulations identify a fitness cost of enhanced fragrance through florivores but the focal trait is experimentally set rather than a phenotypic-selection coordinate.
BENOIT_CARUSO_LOBELIA_2021,Benoit_Caruso_2021,10.1002/ecy.3506,Lobelia siphilitica,yes,predator_context_manipulated_or_contrasted,context_factorial_or_stratified,yes,yes,no_independent_antagonist_selection_on_plant_trait,pollinator_selection_reversal_by_predator_context,public_Dryad_10.5061_dryad.wdbrv15p8,INDIRECT_PREDATOR_CONTEXT_REVERSAL,independent_antagonist_selection_absent,tri_trophic_context_reversal_not_Q1B_opposed_agents,Ambush bugs reverse pollinator-mediated selection on daily display size through pollinator behavior; predator is an indirect context modifier rather than a second plant-fitness selection route on the trait.
DOREY_SCHIESTL_BRASSICA_2022,Dorey_Schiestl_2022,10.1111/evo.14634,Brassica rapa,yes,yes_aphid_herbivory,yes_three_factor_with_soil,yes_PC_trait,seed_set_binary_or_seed_fitness,no_independent_opposing_aphid_selection,pollinator_selection_context_dependent,model_EMM_contrasts_available,HERBIVORY_PLASTICITY_CONTEXT,independent_antagonist_selection_absent,plasticity_modified_pollinator_selection_not_Q1B_opposed_agents,Aphids were removed before pollination and chiefly changed phenotype; authors interpret herbivory as plasticity context modifying bumblebee-mediated selection rather than direct opposing agent-mediated selection.
RAMOS_SCHIESTL_BRASSICA_2019,Ramos_Schiestl_2019,10.1126/science.aav6962,Brassica rapa,yes,yes,yes,no_within_generation_selection_gradient,evolutionary_response_over_six_generations,interaction_affects_evolved_traits,not_Q1B_contrast_vector,evolutionary_replicate_uncertainty,EXPERIMENTAL_EVOLUTION_OUTCOME,within_generation_selection_estimand_absent,evolutionary_outcome_support_not_Q1B_effect,Full 2x2 bee/hand pollination x caterpillar herbivory over six generations demonstrates interactive evolutionary response but does not supply the registered within-study Q1B selection contrast vector.
KOSKI_TRILLIUM_2023,Koski_2023,10.1002/ajb2.16101,Trillium discolor,yes,no_natural_antagonism_observed,no,yes,yes,no_antagonist_selection_detected,no,public_Zenodo_10.5281_zenodo.7258367,ONE_AGENT_EXPERIMENT_PLUS_ANTAGONIST_NULL,antagonist_manipulation_absent,pollinator_selection_plus_antagonist_null_control,Open vs pollen-supplemented plants identify pollinator-mediated selection; antagonist damage was observational and did not alter selection on floral traits.
GOMEZ_ERYSIMUM_2003,Gomez_2003,10.1086/376574,Erysimum mediohispanicum,no_pollinator_preferences_observed,yes_ungulate_exclusion,no,yes,yes,conflicting_context_effect_inferred,no,no_joint_crossed_uncertainty,HERBIVORY_CONTEXT_WITH_OBSERVED_POLLINATORS,pollination_manipulation_absent,herbivory_suppresses_pollinator_associated_selection_not_Q1B,Herbivore exclusion changes the floral selection regime and ungulates prefer larger plants but pollination is not experimentally toggled to identify pollinator-mediated beta.
