case_taxon,candidate_control,phylogenetic_proximity_status,heteranthery_absence_status,animal_pollination_status,candidate_status,source_basis,notes
Senna alata,Senna siamea,CLOSE_RELATIVE,FAIL,CONFIRMED_BUZZ_POLLINATION,EXCLUDED_HETERANTHEROUS,Senna_alata_plastome_2023;Luo_Gu_Zhang_2009_JSE,Plastome analysis places S. alata close to S. siamea; Luo et al. directly documents strong stamen differentiation in S. siamea so it cannot be a negative heteranthery control.
Senna alata,Senna racemosa,PHYLOGENETIC_DISTANCE_OPEN,PASS,FLORAL_RESOURCE_ONLY,CANDIDATE_OPEN,Irwin_Barneby_1982_monograph;Marazzi_Conti_Endress_2007_IJPS;Melipona_bee_floral_resource_2023,Senna racemosa has seven fertile stamens described as homomorphic except slight abaxial diminution; direct effective-pollinator evidence and relative distance to S. alata remain unresolved.
Senna alata,Senna pumilio,PHYLOGENETIC_DISTANCE_OPEN,PASS,UNRESOLVED,CANDIDATE_OPEN,Irwin_Barneby_1982_monograph;Marazzi_Conti_Endress_2007_IJPS,Senna pumilio has homomorphic fertile stamens but source-secure animal-pollination eligibility and relative phylogenetic distance remain unresolved.
Senna alata,Senna villosa,PHYLOGENETIC_DISTANCE_OPEN,PASS,FLORAL_RESOURCE_ONLY,CANDIDATE_OPEN,Marazzi_Conti_Endress_2007_IJPS;Souza_Novello_1981_bee_resource_record,Clade VIIb is characterized by fertile stamens of similar length/shape and S. villosa is a VIIb representative; bee pollen-resource evidence exists but effective pollination and phylogenetic distance to S. alata remain open.
Senna bicapsularis,Senna corymbosa,SISTER_RELATIVE,FAIL,CONFIRMED_BUZZ_POLLINATION,EXCLUDED_HETERANTHEROUS,Cai_et_al_2025_PeerJ;Laporta_2005_RevBiolTrop,S. corymbosa is recovered as sister to S. bicapsularis in the recent ITS/seed study and has direct nutritional-versus-reproductive stamen division; it fails the negative-architecture gate.
Senna bicapsularis,Senna occidentalis,CLOSE_RELATIVE,FAIL,CONFIRMED_BUZZ_POLLINATION,EXCLUDED_HETERANTHEROUS,Senna_bicapsularis_plastome_2020;Paul_Gogoi_2024_Brazilian_J_Botany,Plastome analyses recover close relationship with S. occidentalis; direct 2024 study identifies dimorphic stamens and division of labour so it fails the negative-architecture gate.
Senna bicapsularis,Senna siamea,CLOSE_RELATIVE,FAIL,CONFIRMED_BUZZ_POLLINATION,EXCLUDED_HETERANTHEROUS,Senna_bicapsularis_plastome_2020;Luo_Gu_Zhang_2009_JSE,Plastome analysis includes S. siamea among close relatives; direct stamen study shows strong heteranthery so it is ineligible as a negative control.
Senna bicapsularis,Senna racemosa,PHYLOGENETIC_DISTANCE_OPEN,PASS,FLORAL_RESOURCE_ONLY,CANDIDATE_OPEN,Irwin_Barneby_1982_monograph;Marazzi_Conti_Endress_2007_IJPS;Melipona_bee_floral_resource_2023,Source-secure homomorphic fertile stamens but phylogenetic distance and effective animal-pollination eligibility remain open.
Senna bicapsularis,Senna pumilio,PHYLOGENETIC_DISTANCE_OPEN,PASS,UNRESOLVED,CANDIDATE_OPEN,Irwin_Barneby_1982_monograph;Marazzi_Conti_Endress_2007_IJPS,Source-secure homomorphic fertile stamens; no promotion until phylogenetic distance and animal-pollination evidence close.
Senna bicapsularis,Senna villosa,PHYLOGENETIC_DISTANCE_OPEN,PASS,FLORAL_RESOURCE_ONLY,CANDIDATE_OPEN,Marazzi_Conti_Endress_2007_IJPS;Souza_Novello_1981_bee_resource_record,Clade VIIb morphology supports a homomorphic-stamen candidate but direct effective pollination and nearest-eligible ranking remain open.
