cluster_id,citation_key
Peucedanum_longitudinal_mosaic,KUDO_SHIBATA_PROGRAM
Dalechampia_scandens_mexico,PEREZ_BARRALES_2013
Castilleja_linariaefolia_colorado,CARIVEAU_2004
Polemonium_viscosum_pollinator_ant_conflict,GALEN_PROGRAM
Nicotiana_attenuata_program,NICOTIANA_PROGRAM
Primula_farinosa_polymorphism,AGREN_ETAL_2013
Primula_veris_component_conflict,KOLB_EHRLEN_PROGRAM
Gymnadenia_conopsea_pollinator_herbivore_conflict,SLETVOLD_MORITZ_AGREN_2015
Fragaria_vesca_pollinator_herbivore_conflict,EGAN_ETAL_2021
Brassica_rapa_experimental_evolution,BRASSICA_RAPA_2019
Salmonella_HisA_TrpF_architecture,NASVALL_ADLER_PROGRAM
Cichlid_oral_pharyngeal_jaws,CICHLID_ARCHITECTURE_PROGRAM
coGFP_dual_color_duplication,MIHAJLOVIC_2025
Yeast_GAL1_GAL3_adaptive_conflict,HITTINGER_CARROLL_2007
Solanum_heteranthery_repeated_origins,VALLEJO_MARIN_PROGRAM
Yeast_GAP1_PUT4_CNV_context,ABDUL_RAHMAN_GRESHAM_2025
Pedicularis_rex_geographic_conflict,SUN_ARMBRUSTER_HUANG_2016
