cluster_id,dependency_group,sampling_frame_id,unit_type,source_id,publication_year,system_taxon,conflict_family,shared_structure,function_a,function_b,conflict_status,architecture_mode,structural_module_division,module_substrate,conflict_timing_geometry,conflict_spatial_geometry,self_compatibility,autonomous_selfing,pollinator_dependence,life_history,study_design,evidence_quality,adjudication_status,primary_model_eligible,exclusion_reason,source_basis,claim_ceiling,notes
U4_Pinguicula_vallisneriifolia,Pinguicula_vallisneriifolia,U4_CARNIVOROUS_PPC_STRESS_TEST_V1,SPECIES,Zamora_1999_Ecology,1999,Pinguicula vallisneriifolia,POLLINATOR_PREY,flower and sticky insect-trapping leaf system,animal-mediated pollination,prey capture for nutrition,POSITIVE,SHARED_INTEGRATED,false,PREEXISTING_SEPARATE_ORGANS,SIMULTANEOUS,BETWEEN_MODULES,UNRESOLVED,UNRESOLVED,HIGH,PERENNIAL,regional survey plus local interference experiment across abiotic contexts,HIGH,SCREENED,false,,10.1890/0012-9658(1999)080[0786:COOITP]2.0.CO;2,u4_mechanism_stress_test_not_prevalence_not_adjudicated,Direct pollinator-prey conflict: small pollinators are trapped and their loss depletes the resource limiting reproduction; interference is environment dependent.
U4_Drosera_cistiflora,Drosera_cistiflora,U4_CARNIVOROUS_PPC_STRESS_TEST_V1,SPECIES,Anderson_2010_AnnBot,2010,Drosera cistiflora,POLLINATOR_PREY,flower and sticky-trap display system,pollinator attraction,prey capture,NO_DEMONSTRATED_CONFLICT,SHARED_INTEGRATED,false,PREEXISTING_SEPARATE_ORGANS,SIMULTANEOUS,BETWEEN_MODULES,UNRESOLVED,UNRESOLVED,UNRESOLVED,PERENNIAL,sympatric comparative field study plus flower-height manipulation,HIGH,SCREENED,false,,10.1093/aob/mcq155,u4_mechanism_stress_test_not_prevalence_not_adjudicated,Short-raceme species shared pollinators with D. pauciflora but no pollinators were found in traps; long scapes were not supported as pollinator-protection adaptations.
U4_Drosera_pauciflora,Drosera_pauciflora,U4_CARNIVOROUS_PPC_STRESS_TEST_V1,SPECIES,Anderson_2010_AnnBot,2010,Drosera pauciflora,POLLINATOR_PREY,flower and basal sticky-trap display system,pollinator attraction,prey capture,NO_DEMONSTRATED_CONFLICT,SPATIAL_SEPARATION,false,PREEXISTING_SEPARATE_ORGANS,SIMULTANEOUS,BETWEEN_MODULES,UNRESOLVED,UNRESOLVED,UNRESOLVED,PERENNIAL,sympatric comparative field study plus flower-height manipulation,HIGH,SCREENED,false,,10.1093/aob/mcq155,u4_mechanism_stress_test_not_prevalence_not_adjudicated,"Long scape creates large flower-trap distance, yet no pollinators were captured and height mainly increased pollinator visitation; separation is observed but conflict mechanism is not demonstrated."
U4_Drosera_spatulata,Drosera_spatulata,U4_CARNIVOROUS_PPC_STRESS_TEST_V1,SPECIES,ElSayed_Byers_Suckling_2016_SciRep,2016,Drosera spatulata,POLLINATOR_PREY,flower/trap visual and spatial signalling system,pollinator attraction,prey capture,NO_DEMONSTRATED_CONFLICT,SPATIAL_SEPARATION,false,PREEXISTING_SEPARATE_ORGANS,SIMULTANEOUS,BETWEEN_MODULES,UNRESOLVED,UNRESOLVED,UNRESOLVED,PERENNIAL,flower-visitor and prey sampling plus behavioural colour and separation experiments,HIGH,SCREENED,false,,10.1038/srep21065,u4_mechanism_stress_test_not_prevalence_not_adjudicated,Large flower-trap distance and white floral display reduce pollinator entrapment; study demonstrates separation mechanism rather than a realized fitness conflict.
U4_Drosera_arcturi,Drosera_arcturi,U4_CARNIVOROUS_PPC_STRESS_TEST_V1,SPECIES,ElSayed_Byers_Suckling_2016_SciRep,2016,Drosera arcturi,POLLINATOR_PREY,flower/trap visual and spatial signalling system,pollinator attraction,prey capture,NO_DEMONSTRATED_CONFLICT,SPATIAL_SEPARATION,false,PREEXISTING_SEPARATE_ORGANS,SIMULTANEOUS,BETWEEN_MODULES,UNRESOLVED,UNRESOLVED,UNRESOLVED,PERENNIAL,flower-visitor and prey sampling plus behavioural colour and separation experiments,HIGH,SCREENED,false,,10.1038/srep21065,u4_mechanism_stress_test_not_prevalence_not_adjudicated,"Spatial separation and floral colour are consistent with pollinator sparing, while direct fitness loss from pollinator capture is not demonstrated."
U4_Drosera_auriculata,Drosera_auriculata,U4_CARNIVOROUS_PPC_STRESS_TEST_V1,SPECIES,ElSayed_Byers_Suckling_2016_SciRep,2016,Drosera auriculata,POLLINATOR_PREY,adjacent flowers and sticky traps with distinct volatile signals,pollinator attraction,prey capture,UNRESOLVED,SIGNAL_SEPARATION,false,PREEXISTING_SEPARATE_ORGANS,SIMULTANEOUS,BETWEEN_MODULES,UNRESOLVED,UNRESOLVED,UNRESOLVED,PERENNIAL,flower/trap volatile chemistry plus behavioural attraction assays,HIGH,SCREENED,false,,10.1038/srep21065,u4_mechanism_stress_test_not_prevalence_not_adjudicated,"Flowers and traps are spatially adjacent, but distinct odour blends partition attraction: floral odour attracts flower visitors while trap odour attracts prey. Fitness-level conflict remains unresolved."
U4_Drosera_makinoi,Drosera_makinoi,U4_CARNIVOROUS_PPC_STRESS_TEST_V1,SPECIES,Tagawa_Watanabe_Yahara_2018_EcolRes,2018,Drosera makinoi,POLLINATOR_PREY,short flower-trap separation in a selfing sundew,pollination,prey capture,UNRESOLVED,SHARED_INTEGRATED,false,PREEXISTING_SEPARATE_ORGANS,SIMULTANEOUS,BETWEEN_MODULES,SELF_COMPATIBLE,PRESENT,LOW,PERENNIAL,field pollinator/prey census plus flower-removal experiment,HIGH,SCREENED,false,,10.1007/s11284-018-1572-6,u4_mechanism_stress_test_not_prevalence_not_adjudicated,"Four of five major pollinator species were also caught as prey, but autonomous selfing may buffer reproductive cost; ecological overlap is high without a demonstrated fitness conflict."
U4_Drosera_toyoakensis,Drosera_toyoakensis,U4_CARNIVOROUS_PPC_STRESS_TEST_V1,SPECIES,Tagawa_Watanabe_Yahara_2018_EcolRes,2018,Drosera toyoakensis,POLLINATOR_PREY,short flower-trap separation in a selfing sundew,pollination,prey capture,UNRESOLVED,SHARED_INTEGRATED,false,PREEXISTING_SEPARATE_ORGANS,SIMULTANEOUS,BETWEEN_MODULES,SELF_COMPATIBLE,PRESENT,LOW,PERENNIAL,field pollinator/prey census plus flower-removal experiment,HIGH,SCREENED,false,,10.1007/s11284-018-1572-6,u4_mechanism_stress_test_not_prevalence_not_adjudicated,"One of six major pollinator species was trapped; selfing and pollinator behaviour can buffer costs, so capture overlap is not promoted to positive fitness conflict."
U4_Dionaea_muscipula,Dionaea_muscipula,U4_CARNIVOROUS_PPC_STRESS_TEST_V1,SPECIES,Youngsteadt_et_al_2018_AmNat,2018,Dionaea muscipula,POLLINATOR_PREY,flower and snap-trap arthropod interaction system,animal-mediated pollination,prey capture,NO_DEMONSTRATED_CONFLICT,SPATIAL_SEPARATION,false,PREEXISTING_SEPARATE_ORGANS,SIMULTANEOUS,BETWEEN_MODULES,UNRESOLVED,UNRESOLVED,UNRESOLVED,PERENNIAL,field flower-visitor pollen-load survey and trap-prey community comparison,HIGH,SCREENED,false,,10.1086/696124,u4_mechanism_stress_test_not_prevalence_not_adjudicated,"Flower visitors and trap prey show near-zero niche overlap; spatial separation of flowers and traps may contribute to partitioning, but realized conflict is rare."
U4_Drosera_hookeri,Drosera_hookeri,U4_CARNIVOROUS_PPC_STRESS_TEST_V1,SPECIES,Gross_et_al_2026_AnnBot,2026,Drosera hookeri,POLLINATOR_PREY,flowers produced close to sticky trap leaves,pollination,prey capture,POSITIVE,SHARED_INTEGRATED,false,PREEXISTING_SEPARATE_ORGANS,SIMULTANEOUS,BETWEEN_MODULES,SELF_COMPATIBLE,PRESENT,LOW,PERENNIAL,2007-2021 field video hand-pollination prey census and flower-removal experiment,HIGH,SCREENED,false,,10.1093/aob/mcag170,u4_mechanism_stress_test_not_prevalence_not_adjudicated,"Pollinators comprised 57% of identified prey and flowers facilitate capture; female fitness is buffered by high autofertility, making this a direct conflict with asymmetric fitness consequences."
