cluster_id,source_id,system_taxon,domain,conflict_present,shared_architecture_present,alternative_architecture_present,pattern_class,context_axis,evidence_level,confidence,quantitative_pool_eligible,source_basis,claim_ceiling,notes
Peucedanum_longitudinal_mosaic,Kudo_Shibata_2021_2025,Peucedanum multivittatum,plant,compatible,yes,not_directly_identified,SANDWICHED_TRANSITION_MOSAIC,phenology_x_antagonist_pressure,multi_year_multi_source_observational,high,false,BALANCE_PEUCEDANUM_LONGITUDINAL_MOSAIC_V1,selection_mosaic_not_direct_BALANCE_occupancy,Later flowering lowers predation; male allocation tracks high predation; selection on perfect-flower production reverses across the environmental ordering.
Dalechampia_scandens_mexico,Perez_Barrales_2013,Dalechampia scandens,plant,yes,yes,not_directly_identified,CONFLICT_WITHOUT_SPLITTING,pollination_x_seed_predation,observational_selection_common_fitness,high,false,SCH_EVOLUTIONARY_OUTCOME_PRIMARY_SOURCE_AUDIT_V1,case_level_stabilizing_shared_trait_compromise_not_direct_BALANCE_occupancy,Larger showy bracts increase bee visitation/pollen arrival and seed-predator exposure; antagonist selection counteracts pollinator selection and net selection tends to stabilizing.
Castilleja_linariaefolia_colorado,Cariveau_2004,Castilleja linariaefolia,plant,yes,yes,not_directly_identified,CONFLICT_WITHOUT_SPLITTING,pollination_x_predispersal_seed_predation,observational_path_decomposed_common_seed_fitness,high,false,SCH_CASTILLEJA_FALLBACK_CLOSURE_AUDIT_V1,opposing_selection_shared_calyx_not_direct_BALANCE_occupancy,Natural calyx length shows opposing pollination- and seed-predation-mediated selection on a common seed-fitness scale; randomized calyx manipulation and an explicit alternative worldline are absent.
Polemonium_viscosum_drought,Galen_2000,Polemonium viscosum,plant,yes,yes,not_directly_identified,UNRESOLVED,water_availability_x_reproductive_benefit,experimental_environmental_context_tradeoff,moderate,false,SCH_BROAD_MULTIFUNCTIONAL_COMPROMISE_REALITY_CHECK_V1,resource_dependent_conflict_without_direct_middle_regime_identification,Large flowers provide reproductive benefit but carry drought-related water costs; watering changes demographic consequences but no explicit shared-versus-alternative architecture ordering is recovered.
Nicotiana_attenuata_program,Kessler_2008_2015_Li_2017_2018,Nicotiana attenuata,plant,compatible,yes,candidate_second_axis_not_matched,UNRESOLVED,pollinator_service_x_hawkmoth_oviposition_x_defence,multi_study_experimental_program_composite,high,false,SCH_NICOTIANA_PROGRAM_COMPOSITE_BRIDGE_V1,program_composite_near_complete_not_same_experiment_BALANCE_order,Attraction/reward coordinates affect pollinator service and hawkmoth oviposition; defence-like reproductive surfaces and flower-specific defence biology exist but the required same-experiment common-scale shared-versus-alternative ordering is missing.
Primula_farinosa_polymorphism,Torang_2008_Agren_2013,Primula farinosa,plant,yes,yes,alternative_trait_morphs_not_differentiated_worldlines,UNRESOLVED,year_x_population_x_pollinator_grazer_balance,multi_year_field_selection_and_manipulation,high,false,SCH_EVOLUTIONARY_OUTCOME_PRIMARY_SOURCE_AUDIT_V1,frequency_dependent_polymorphism_and_microevolution_not_static_BALANCE_occupancy,Pollinator and antagonist selection on display morphs varies among years/populations and grazer manipulation shifts morph frequencies; frequency dependence can maintain polymorphism but belongs outside static BALANCE unless worldline ordering is separately identified.
Brassica_rapa_experimental_evolution,Ramos_Schiestl_2019,Brassica rapa,plant,compatible,yes,not_directly_identified,UNRESOLVED,bee_pollination_x_leaf_herbivory,multigeneration_experimental_evolution,high,false,SCH_EVOLUTIONARY_OUTCOME_PRIMARY_SOURCE_AUDIT_V1,antagonist_redirects_evolutionary_trajectory_not_static_BALANCE_worldline,Adding herbivory redirects bee-driven evolutionary trajectories but the antagonist is a leaf herbivore and the experiment does not identify a shared-versus-differentiated architecture fitness ordering.
Salmonella_HisA_TrpF_architecture,Nasvall_2012_Adler_2014_Nasvall_Abdalaal_2026,Salmonella enterica HisA/TrpF system,protein_function,yes,yes,yes_unmatched,UNRESOLVED,bifunctional_generalist_x_duplicated_specialist_architecture,cross_domain_experimental_architecture_audit,moderate,false,BALANCE_HISA_TRPF_CROSS_DOMAIN_AUDIT_V1,architecture_boundary_candidate_not_matched_direct_BALANCE_receipt,Bifunctional/generalist and duplicated/specialized outcomes exist under multifunctional demand but replicate lineages include both generalist and specialist trajectories and do not identify one static BALANCE boundary.
Cichlid_oral_pharyngeal_jaws,BALANCE_cichlid_architecture_anchor,cichlid jaw systems,vertebrate_morphology,compatible,yes,yes_historical_architecture,UNRESOLVED,oral_x_pharyngeal_function_partitioning,comparative_architecture_anchor,moderate,false,BALANCE_GENERALITY_SIGNATURE_MATRIX_V1,architecture_state_anchor_not_BALANCE_receipt,Functional partitioning with residual integration is a useful architecture boundary anchor but comparable shared-versus-differentiated fitness and the causal conflict route are not directly identified.
coGFP_dual_color_duplication,Mihajlovic_2025,Escherichia coli coGFP construct,protein_function,yes,yes,yes_experimentally_constructed_two_copy,PERSISTENT_INTEGRATION_WITH_ALTERNATIVE_AVAILABLE,green_x_blue_fluorescence_tradeoff,directed_evolution_single_vs_double_copy,high,false,BALANCE_EMPTY_CLASS_TARGETED_RECOVERY_V1,controlled_non_specialization_under_dual_function_selection_not_organismal_BALANCE_occupancy,One- and two-active-copy constructs were evolved under selection for both fluorescence colors; duplication made specialization structurally available yet no copy-specific green/blue specialization was recovered.
Yeast_GAL1_GAL3_adaptive_conflict,Hittinger_Carroll_2007,Saccharomyces cerevisiae GAL1/GAL3 system,gene_regulatory_architecture,yes,yes_ancestral_bifunctional_reconstructed,yes_duplicated_specialized,DIRECT_DIFFERENTIATION,galactokinase_x_coinduction_regulation,precise_sequence_replacement_and_organismal_fitness,high,false,BALANCE_EMPTY_CLASS_TARGETED_RECOVERY_V1,reconstructed_adaptive_conflict_resolution_by_duplication_not_proof_middle_regime_never_exists,Precise coding and promoter replacements linked duplication and specialization to resolution of a bifunctional regulatory conflict and organismal fitness improvement in the GAL switch.
Solanum_heteranthery_repeated_origins,VallejoMarin_2009_2010_Bohs_2007,Solanum spp. incl. Solanum rostratum,plant,yes,yes_isomorphic_stamens,yes_heterantherous_feeding_pollinating_stamens,BOUNDARY_CROSSING,pollen_only_reward_x_buzz_pollination_x_anther_architecture,experimental_function_plus_phylogenetic_repeated_origin,high,false,BALANCE_HETERANTHERY_BOUNDARY_RECOVERY_V1,repeated_shared_to_differentiated_architecture_transition_not_direct_fitness_threshold,Pollen-only buzz-pollinated Solanum mostly retain equal stamens but heteranthery evolved independently multiple times; Solanum rostratum experiments confirm differentiated feeding and pollinating anther functions.
Yeast_GAP1_PUT4_CNV_context,Abdul_Rahman_Gresham_2025_preprint,Saccharomyces cerevisiae GAP1/PUT4 CNV system,genome_architecture_ecological_strategy,yes_task_performance_tradeoff,yes_balanced_copy_number_generalist,yes_asymmetric_copy_number_specialist,BOUNDARY_CROSSING,static_vs_fluctuating_nitrogen_limitation_x_cnv_balance,long_term_experimental_evolution_plus_genotype_fitness,moderate,false,BALANCE_YEAST_CNV_CONTEXT_BOUNDARY_V1,environment_regime_associated_generalist_specialist_transition_preprint_not_direct_BALANCE_threshold,The same 1:1 generalist ancestor shifted rapidly toward asymmetric specialist CNVs under static single-nitrogen limitation while fluctuating glutamine/proline limitation maintained balanced generalist CNVs; genotype fitness was environment-dependent but the study remains a preprint and does not directly estimate optimized WS versus WD across one continuous control path.
