candidate_id,origin,current_cluster_id,system_taxon,domain,current_evidence_class,screening_role,migration_status,source_basis,notes
Peucedanum_longitudinal_mosaic,pattern_ledger,Peucedanum_longitudinal_mosaic,Peucedanum multivittatum,plant,SANDWICHED_TRANSITION_MOSAIC,positive_transition_seed,REQUIRES_MACRO_READJUDICATION,BALANCE_PEUCEDANUM_LONGITUDINAL_MOSAIC_V1,Existing recurrence evidence only; recode accessibility coupling heterogeneity and architecture state under macro rules.
Dalechampia_scandens_mexico,pattern_ledger,Dalechampia_scandens_mexico,Dalechampia scandens,plant,CONFLICT_WITHOUT_SPLITTING,positive_shared_seed,REQUIRES_MACRO_READJUDICATION,SCH_EVOLUTIONARY_OUTCOME_PRIMARY_SOURCE_AUDIT_V1,Do not treat observational compromise geometry as direct BALANCE occupancy.
Castilleja_linariaefolia_colorado,pattern_ledger,Castilleja_linariaefolia_colorado,Castilleja linariaefolia,plant,CONFLICT_WITHOUT_SPLITTING,positive_shared_seed,REQUIRES_MACRO_READJUDICATION,SCH_CASTILLEJA_FALLBACK_CLOSURE_AUDIT_V1,Requires independent coding of architecture accessibility.
Polemonium_viscosum_pollinator_ant_conflict,pattern_ledger,Polemonium_viscosum_pollinator_ant_conflict,Polemonium viscosum,plant,CONFLICT_WITHOUT_SPLITTING,positive_shared_seed,REQUIRES_MACRO_READJUDICATION,BALANCE_POLEMONIUM_CONFLICT_UPGRADE_V1,Cross-function conflict seed with pollination antagonist and physiological costs.
Nicotiana_attenuata_program,pattern_ledger,Nicotiana_attenuata_program,Nicotiana attenuata,plant,UNRESOLVED,unresolved_seed,REQUIRES_MACRO_READJUDICATION,SCH_NICOTIANA_PROGRAM_COMPOSITE_BRIDGE_V1,Composite programme must be collapsed or split using the macro cluster rule.
Primula_farinosa_polymorphism,pattern_ledger,Primula_farinosa_polymorphism,Primula farinosa,plant,UNRESOLVED,polymorphism_seed,REQUIRES_MACRO_READJUDICATION,SCH_EVOLUTIONARY_OUTCOME_PRIMARY_SOURCE_AUDIT_V1,Retain polymorphism as a distinct architecture state rather than forcing binary coding.
Primula_veris_component_conflict,pattern_ledger,Primula_veris_component_conflict,Primula veris,plant,CONFLICT_WITHOUT_SPLITTING,positive_shared_seed,REQUIRES_MACRO_READJUDICATION,BALANCE_PRIMULA_VERIS_COMPONENT_CONFLICT_V1,Component selection evidence requires architecture-side readjudication.
Gymnadenia_conopsea_pollinator_herbivore_conflict,pattern_ledger,Gymnadenia_conopsea_pollinator_herbivore_conflict,Gymnadenia conopsea,plant,CONFLICT_WITHOUT_SPLITTING,positive_shared_seed,REQUIRES_MACRO_READJUDICATION,BALANCE_GYMNADENIA_POLLINATOR_HERBIVORE_CONFLICT_V1,Strong conflict design but no direct differentiated worldline.
Fragaria_vesca_pollinator_herbivore_conflict,pattern_ledger,Fragaria_vesca_pollinator_herbivore_conflict,Fragaria vesca,plant,CONFLICT_WITHOUT_SPLITTING,positive_shared_seed,REQUIRES_MACRO_READJUDICATION,BALANCE_FRAGARIA_DIFFUSE_FACTORIAL_CONFLICT_V1,Strong factorial conflict seed; architecture predictors require new coding.
Brassica_rapa_experimental_evolution,pattern_ledger,Brassica_rapa_experimental_evolution,Brassica rapa,plant,UNRESOLVED,experimental_evolution_seed,REQUIRES_MACRO_READJUDICATION,SCH_EVOLUTIONARY_OUTCOME_PRIMARY_SOURCE_AUDIT_V1,Leaf herbivory and floral pollination may not share a single structural coordinate under the macro inclusion rule.
Salmonella_HisA_TrpF_architecture,pattern_ledger,Salmonella_HisA_TrpF_architecture,Salmonella enterica HisA/TrpF system,protein_function,UNRESOLVED,molecular_architecture_seed,REQUIRES_MACRO_READJUDICATION,BALANCE_HISA_TRPF_CROSS_DOMAIN_AUDIT_V1,Candidate generalist versus duplicated-specialist architecture system.
Cichlid_oral_pharyngeal_jaws,pattern_ledger,Cichlid_oral_pharyngeal_jaws,cichlid jaw systems,vertebrate_morphology,UNRESOLVED,vertebrate_architecture_seed,REQUIRES_MACRO_READJUDICATION,BALANCE_GENERALITY_SIGNATURE_MATRIX_V1,Architecture boundary anchor; conflict route must be separately adjudicated.
coGFP_dual_color_duplication,pattern_ledger,coGFP_dual_color_duplication,Escherichia coli coGFP construct,protein_function,PERSISTENT_INTEGRATION_WITH_ALTERNATIVE_AVAILABLE,experimental_alternative_seed,REQUIRES_MACRO_READJUDICATION,BALANCE_EMPTY_CLASS_TARGETED_RECOVERY_V1,Useful high-accessibility system in which duplication was experimentally available without specialization.
Yeast_GAL1_GAL3_adaptive_conflict,pattern_ledger,Yeast_GAL1_GAL3_adaptive_conflict,Saccharomyces cerevisiae GAL1/GAL3 system,gene_regulatory_architecture,DIRECT_DIFFERENTIATION,structural_differentiation_seed,REQUIRES_MACRO_READJUDICATION,BALANCE_EMPTY_CLASS_TARGETED_RECOVERY_V1,Strong candidate differentiated endpoint; historical and present-day evidence must be separated.
Solanum_heteranthery_repeated_origins,pattern_ledger,Solanum_heteranthery_repeated_origins,Solanum spp. including Solanum rostratum,plant,BOUNDARY_CROSSING,structural_differentiation_seed,REQUIRES_MACRO_READJUDICATION,BALANCE_HETERANTHERY_BOUNDARY_RECOVERY_V1,Repeated functional differentiation candidate with isomorphic-stamen comparator states.
Yeast_GAP1_PUT4_CNV_context,pattern_ledger,Yeast_GAP1_PUT4_CNV_context,Saccharomyces cerevisiae GAP1/PUT4 CNV system,genome_architecture_ecological_strategy,BOUNDARY_CROSSING,environmental_transition_seed,REQUIRES_MACRO_READJUDICATION,BALANCE_YEAST_CNV_CONTEXT_BOUNDARY_V1,Potential temporal-environment comparator; preprint status retained in evidence quality.
Pedicularis_rex_geographic_conflict,pattern_ledger,Pedicularis_rex_geographic_conflict,Pedicularis rex,plant,CONFLICT_WITHOUT_SPLITTING,positive_shared_seed,REQUIRES_MACRO_READJUDICATION,BALANCE_PEDICULARIS_GEOGRAPHIC_CONFLICT_R_LAYER_V1,Geographic context variation must not be pseudoreplicated as independent species.
Dalechampia_scandens_costa_rica,screening_control,Dalechampia_scandens_costa_rica,Dalechampia scandens,plant,CONTEXTUAL_ABSENCE_OF_CONFLICT,negative_context_seed,REQUIRES_MACRO_READJUDICATION,SCH_DALECHAMPIA_CAUSAL_COMPROMISE_EXPERIMENT_V1,Essential same-species geographic negative/control context for screening-frame construction.
Platycodon_grandiflorus_orientation,screening_control,Platycodon_grandiflorus_orientation,Platycodon grandiflorus,plant,ALIGNED_OPTIMA_NO_CONFLICT,aligned_optima_seed,REQUIRES_MACRO_READJUDICATION,SCH_BROAD_MULTIFUNCTIONAL_COMPROMISE_REALITY_CHECK_V1,Multifunctionality without conflict; important denominator control.
Abelia_grandiflora_orientation,screening_control,Abelia_grandiflora_orientation,Abelia x grandiflora,plant,MULTIFUNCTIONALITY_NO_DEMONSTRATED_CONFLICT,unresolved_conflict_seed,REQUIRES_MACRO_READJUDICATION,SCH_BROAD_MULTIFUNCTIONAL_COMPROMISE_REALITY_CHECK_V1,Retain rather than dropping because opposing preferred states were not demonstrated.
Ipomopsis_aggregata_control,screening_control,Ipomopsis_aggregata_control,Ipomopsis aggregata,plant,NEAR_MONOTONIC_OR_WEAK_CONFLICT_CONTROL,negative_boundary_seed,REQUIRES_MACRO_READJUDICATION,BALANCE_GENERALITY_SIGNATURE_MATRIX_V1,Tests that multifunctionality does not automatically imply a BALANCE-relevant conflict.
